host	symbiont	MOI	date	total_spore	flow_infected	percent_spore	type
qs4	bb395	control	20210911	1909.5	0.014	103.4561226	nonnative
qs4	bb395	control	20210911	1808.375	0.023	97.97720119	nonnative
qs4	bb395	control	20210911	1819.25	0.015	98.56640534	nonnative
qs4	bb395	0.1%_0.6	20210911	1794.5	36.4	97.22545795	nonnative
qs4	bb395	0.1%_0.6	20210911	1746.75	39.5	94.63837764	nonnative
qs4	bb395	0.1%_0.6	20210911	1876.25	41.1	101.6546478	nonnative
qs4	bb395	0.5%_3	20210911	1795.5	56	97.27963765	nonnative
qs4	bb395	0.5%_3	20210911	1790.75	57.5	97.02228411	nonnative
qs4	bb395	0.5%_3	20210911	1638.75	58.9	88.78697087	nonnative
qs4	bb395	2.5%_15	20210911	1638.75	84.6	88.78697087	nonnative
qs4	bb395	2.5%_15	20210911	1503.125	88.9	81.43885009	nonnative
qs4	bb395	2.5%_15	20210911	1521.625	85.4	82.4411744	nonnative
qs395	bb395	control	20210911	1662.5	0.023	102.5392733	native
qs395	bb395	control	20210911	1534.25	0.035	94.6291008	native
qs395	bb395	control	20210911	1667.25	0.022	102.8322427	native
qs395	bb395	0.1%_0.6	20210911	1415.5	34.3	87.30486699	native
qs395	bb395	0.1%_0.6	20210911	1586.5	31	97.85176368	native
qs395	bb395	0.1%_0.6	20210911	1482	39.7	91.40643792	native
qs395	bb395	0.5%_3	20210911	1401.375	61.5	86.43366865	native
qs395	bb395	0.5%_3	20210911	1498.5	60.3	92.42412094	native
qs395	bb395	0.5%_3	20210911	1472.25	64.4	90.80507978	native
qs395	bb395	2.5%_15	20210911	1296.75	94.1	79.98063318	native
qs395	bb395	2.5%_15	20210911	1325.25	94	81.7384493	native
qs395	bb395	2.5%_15	20210911	1413.75	96.1	87.19693091	native
qs17	bb395	control	20210918	1748	0.019	95.83333333	nonnative
qs17	bb395	control	20210918	1914.25	0.00808	104.9479167	nonnative
qs17	bb395	control	20210918	1809.75	0.012	99.21875	nonnative
qs17	bb395	0.1%_0.6	20210918	1762.125	18.7	96.60773026	nonnative
qs17	bb395	0.1%_0.6	20210918	1837.875	21.7	100.7606908	nonnative
qs17	bb395	0.1%_0.6	20210918	1838.25	20.2	100.78125	nonnative
qs17	bb395	0.5%_3	20210918	1734.375	56.4	95.08634868	nonnative
qs17	bb395	0.5%_3	20210918	1814.5	58.7	99.47916667	nonnative
qs17	bb395	0.5%_3	20210918	1819.25	56.7	99.73958333	nonnative
qs17	bb395	2.5%_15	20210918	1609.5	86.3	88.24013158	nonnative
qs17	bb395	2.5%_15	20210918	1653	86.2	90.625	nonnative
