host	symbiont	MOI	date	flow_infected	transmission	type
qs4	bb433	1%_6	20201223	29.42281283	4.245919745	nonnative
qs4	bb433	1%_6	20201223	29.77884295	3.794158779	nonnative
qs4	bb433	1%_6	20201223	29.4040404	3.588054725	nonnative
qs17	bb433	1%_6	20201230	38.93019957	10.6563851	nonnative
qs17	bb433	1%_6	20201230	38.73424396	10.08564297	nonnative
qs17	bb433	1%_6	20201230	40.49312182	8.589738323	nonnative
qs18	bb433	1%_6	20201231	24.70588235	2.279780835	nonnative
qs18	bb433	1%_6	20201231	24.87566204	2.188412241	nonnative
qs18	bb433	1%_6	20201231	24.48907504	2.168927586	nonnative
qs17	bb395	1%_6	20210127	33.47256832	3.328675741	nonnative
qs17	bb395	1%_6	20210127	33.68665322	3.36725296	nonnative
qs17	bb395	1%_6	20210127	33.98690824	3.438938532	nonnative
qs18	bb395	1%_6	20210128	18.72973411	3.078948403	nonnative
qs18	bb395	1%_6	20210128	18.52605449	3.026965364	nonnative
qs18	bb395	1%_6	20210128	18.21348189	2.877458928	nonnative
qs4	bb395	1%_6	20210130	26.23893761	5.153108084	nonnative
qs4	bb395	1%_6	20210130	26.30544069	4.245652514	nonnative
qs4	bb395	1%_6	20210130	26.79499208	4.615818754	nonnative
qs4	bb395	1%_6	20210220a	42.93376701	10.80069843	nonnative
qs4	bb395	1%_6	20210220a	43.55559165	10.49576618	nonnative
qs4	bb395	1%_6	20210220a	42.59559958	9.939185313	nonnative
qs4	bb859	1%_6	20210220b	62.16112635	30.86546087	nonnative
qs4	bb859	1%_6	20210220b	63.73704315	31.68395037	nonnative
qs4	bb859	1%_6	20210220b	61.39114633	28.19260117	nonnative
qs4	bb433	1%_6	20210410	41.32220509	7.147962831	nonnative
qs4	bb433	1%_6	20210410	41.6515408	7.622274466	nonnative
qs4	bb433	1%_6	20210410	41.82026366	7.394750912	nonnative
qs18	bb433	1%_6	20210417a	50.7283391	14.89727446	nonnative
qs18	bb433	1%_6	20210417a	50.85366718	16.75993285	nonnative
qs18	bb433	1%_6	20210417a	50.06145314	16.75701155	nonnative
qs18	bb859	1%_6	20210417b	81.49086599	52.40065187	nonnative
qs18	bb859	1%_6	20210417b	83.081571	50.80604321	nonnative
qs18	bb859	1%_6	20210417b	82.69483731	53.54654579	nonnative
